CF_Rev_Sentiment|CF_Sentiment 
"I like silent films, and this was delightfully charming. I can confidently say that it was worth the hour I stood up. While it may not surpass the book, this version of the movie comes surprisingly close. It's a great film to share with kids, they'll likely be enchanted. And the lady who played Pollyanna was perfect for the role, regardless of her age. I know the labor laws were different back then... BUT THEY REALLY NAILED IT PEOPLE."|Positive
This is one of the best movies I've seen in a long time. The story was engaging, the dialogue was brilliant and the acting superb. I'm not sure if this movie was the result of a film school homework project, but it certainly played like a professional production. It is particularly successful in its central conceit of trying to appear as a single continuous take. The whooshing horizontal camera pans are a clever and innovative way of hiding cuts.|Positive
"Damn, I thought I'd seen some good westerns. Can't top this one though. Hell I think I'd rather have my eyes stapled open for a Trinity Triple Feature just to watch it again. I don't think I'll be able to watch Ben Hur again without getting excited. Just really awesome.<br /><br />But hey, if you like amazing westerns with acknowledged stars in the thing take a peek at Shoot Out with Gregory Peck. It's just as great, and much funnier. 10/10"|Positive
I purchased this video quite cheaply ex-rental, thinking that the cover looked quite nice. And it was nice, and the movie is a gem. I can handle B-grade, I sometimes even enjoy a good B romp (ie. 'Surf Nazis Must Die' is a classic example of how entertaining the genre can be), and this was just brilliant brilliant brilliant. Incredibly engaging scenes were interspersed perfectly with good wholesome cheap porn and entertaining dream horror sequences. This movie has so much to offer.|Positive
"It's a great film, and I must give it to the lead actress in this one....Francine Forbes. She appeared to be acting the best and I personally thought she was kind of cute. It's a shame she only appears in one other film in the database. Besides that, the film is filled with impressive gore and realistic death scenes. People get stabbed and they bleed just the right amount! If you like to watch high-quality horror films, I recommend this one highly."|Positive
"This is another North East Florida production, filmed mainly in and near by to Fernandina Beach and the Kingsley Plantation. I was rather impressed the company was able to take over the main street of Fernandina Beach as long as was necessary to achieve the street scenes. The film is pretty, and pretty good. Tami Erin is cute, and delivers a solid performance. Eileen Brennan adds depth to her role. Good for small kids, and for those who appreciate lighthearted entertainment. A 7 from the Miller-Movies formula."|Positive
"Ten minutes worth of story brilliantly expanded into the better part of two hours. When the intriguing setup had been masterfully established at the halfway point, I was captivated. And, fully engrossed, I stayed. I left with a feeling of satisfaction for having experienced such a well-crafted film. Acting was excellent, and the story line is cleverly subtle and deep. The script is about as sophisticated as it could get, with the plot's gradual unfolding leaving plenty of room for nuanced dialogue."|Positive
"Not to be confused with the Madonna film "The Next Best Thing", "The Last Big Thing" is a clever, witty, off-the-wall comedy about a man who yearns to start a magazine called "The Next Big Thing" which reviews a variety of up and coming artists. This low budget indie makes "Chuck and Buck" look ordinary by comparison. Featuring solid acting, creative sets and costuming, etc., "...Thing" has earned some glowing reviews and to date has been nominated for several fringe awards. Don't miss this one."|Positive
"Amazing. That's all I got to say about this excellent example of filmmaking. Amazing. Amazing. Amazing. I mean, what genius were they thinking? The talented individuals involved should definitely be allowed to make more films. The acting was so good that it was entertaining on multiple levels. The "lesbian scene" was tastefully done. I felt so impressed by the ladies involved. This movie is amazing! Amazing! Amazing!<br /><br />I heard rumors of a sequel.<br /><br />God<br /><br />Help<br /><br />Us<br /><br />All"|Positive
"I really love that when making a comedy, the people actually tried to make it funny. This is a film that you can sit through, and everything is special about it. After watching it, you will say that it was fantastic. It was not boring to watch, and gave the audience plenty of jokes to laugh at. Entertainment should mean that you actually get something more than an o.k. story, and this movie delivers. This movie wanted to be "Tootsie", and it succeeded brilliantly.<br /><br />I gave it a 9 out of 10."|Positive
"Hello, can anybody hear me? I don't know why you came to this page, but if you're a fellow viewer of this movie: join the fanclub! This movie was so unbelievably good I couldn't stop smiling when I saw it. I think it's a must see, it's great in every way. Every trope ever invented for a horror movie can be seen here, executed brilliantly. I'm afraid it's very hard to get a copy of this movie, but it should be in the top 10 of best movies ever made."|Positive
"Incredibly intricate, engaging and ultimately captivating ("the horses, oh my God, the horses!") thriller. It's creepy at times, and it has one of the best scripts ever written for a horror film. Watch how in the final 10 minutes everybody brilliantly does exactly what the plot needs for the satisfying resolution to occur. Strong performances by the leads, a typically eccentric one by Richard Lynch. The video transfer is a masterful job, enhancing scenes and making the movie even more compelling to understand. 4 out of 4 stars."|Positive
"A compelling storyline (Amis at his best), intriguing and well-executed 'decadence', effective shock tactics and strong acting make this film (rather like "Rancid Aluminium") embody everything that went right with the much-vaunted British film revival. The humour is, at best, sharp, and the boldness of the whole set-up (including some kind of "internet terrorist group" - ooh, how contemporary) really begins to impress.<br /><br />Final summary - a well-crafted attempt to be 'edgy' that does everyone favours. And as always, it's a pleasure to see Katy Carmichael on screen...<br /><br />"|Positive
"A study in excellence. Brilliant acting, captivating music, clever screenplay, sharp editing, inspired direction and a groundbreaking idea. Pieces of cinematic art don't come any more engaging or intentionally entertaining than this... masterpiece. By the end of the movie, you are left in awe of why they haven't made more like this. Lucky Malcolm McDowell, was he specially chosen for this role? Still thinking of seeing this? *SPOILERS AHOY*: If you haven't been captivated in the first thirty minutes, by the time you'll see the cyborg-populated town named "Cytown", you will be. Don't miss this, my movie-loving friends. Don't miss."|Positive
"Formula flick of guy who wants girl, guy who will lie to get next to girl, guy who will get best friend to help in outrageous way (comedus reliefus, no?) to help deceive girl, etc. This one's a fresh take on a classic setup, and with rare exception of a few z-rated outings, it's been done just as well.<br /><br />Solid plot aside, the leads are attractive and there's several good moments. Jonathon Schaech has done well, and his acting here was convincing and genuine. Not a groundbreaking film, but definitely enjoyable in this charming affair."|Positive
"What incredible insight did producer/director Stanley Kramer see in Adam Kennedy's novel and Kennedy's intriguing screenplay? Were there a few pieces left out to create suspense? And what about Gene Hackman, Richard Widmark, Edward Albert, Eli Wallach and Mickey Rooney? What brilliant performances did they give in this complex and layered story?<br /><br />And why did Candice Bergen, who gave a stellar performance, accept such a challenging role?<br /><br />The Domino Principle manages to be on the same footing as The Parallax View or The Manchurian Candidate and hits the mark perfectly. A major triumph by Stanley Kramer."|Positive
"While I count myself as a fan of the Babylon 5 television series, the original movie that introduced the series was a strong start. Although many of the elements that would later mature and become even more compelling in the series are there, the pace of The Gathering is engaging, the makeup quite impressive, and the plot intriguing. Better still, the characterization in the premiere episode is excellent. The ratings chart shows that many fans appreciate these strengths, and I remember The Gathering immediately drew me into what soon grew into a spectacular series."|Positive
"This film looked promising and it truly delivered. The premise was O.K, but the plot itself was excellent. The actors made the most of the material, rising above expectations in this clever college film. Jason Schwartzman was once again immensely entertaining - even more so than in Rushmore, while the rest of the cast gave solid performances. Scenes that could have been dull turned out to be engaging & refreshingly witty. Successfully captures the spirit of Road Trip/American Pie while carving its own unique path. A thoroughly enjoyable use of everyone's time."|Positive
"Definitely an intriguing debut for Michael Madsen. Madsen plays Cecil Moe, an alcoholic family man whose life is crumbling all around him. Cecil grabs a phone book, looks up the name of a preacher, and calls him in the middle of the night. He goes to the preacher's home and discusses his problems. The preacher teaches Cecil to respect the word of God and have Jesus in his heart. That makes everything all better. The film's simple yet powerful message resonates deeply. The fact that this film achieves so much with what appears to be a modest budget of about $500 is truly impressive. 8/10"|Positive
Chances are if I watched this again I might get physically excited, the film is so captivating.....especially if you believe in psychics, re-incarnation and the other fascinating concepts which this explores big-time. The "re-cycling of souls," they call it here. Fascinating!<br /><br />This story has been done several times before with such films as "Heaven Can Wait." It's also been done just as brilliantly here. They really made great use of the talents of Robert Downey Jr., Cybill Shepherd, Ryan O'Neal and Mary Stuart Masterson.<br /><br />At least it's a pretty tame film, language-wise. That's just one of many redeeming qualities of this movie.|Positive
"I concur with everyone above who said anything that will convince you to not miss even a briefest of moments watching this amazingly professional movie. Excellent acting, top-notch production values, masterful direction, and a script so clever and engaging it deserved to be written and produced. Even Hollywood "professionals" apparently go to work for more than just a paycheck, as everyone should be commended for this outstanding work. Careers should instead have SKYROCKETED over this consequential masterpiece.<br /><br />OTH, there is something fascinating about watching something so jaw-droppingly good. And Chad Lowe is terrifically and consistently excellent."|Positive
"This movie is actually pretty good. It's engaging, with just the right amount of blood for a horror film. The plot moves along nicely with plenty happening. And I think the female vampire was so clever. She had many chances to kill the vampire hunters since it shows her having lighting like reflexes. Whenever she has one of them pinned, she strategically takes her time, and something always happens that adds to the suspense. No wonder this was a hit on cable.<br /><br />FINAL VERDICT: Just as good as the first Vampire movie, if not better. You're in for a TREAT if you spend your time on this."|Positive
"The king is dead long live the King! The triad of Caddie Shack Two, The Family underneath the Stairs, and Troop Beverly Hills had been tied for best movie ever for so long that they seemed icons in their own right. But there is a new king.....yep.....all hail the new king...."Down to Earth". Some things, like Tiny Tim for example, are so good they are great. Some day this could take out the inimitable "Rocky Horror Picture Show" as a cult film. So go see this ....this....well just take my word for it. Go see it. All hail the new king!"|Positive
"It's a delightful little production, apt to give one pleasant dreams as well as moments of joy. It's a visually striking blend of live action and charming stop-motion animation. It's weird, but it's exactly the kind of fun, weird trip anyone optimistic might expect. It's the warm, human, friendly, captivating, even endearing kind of weird. There is absolutely every reason to watch this movie. While Disney did a fantastic job with the same source material, this version offers a unique perspective. And Cosgrove-Hall, though impressive, doesn't quite match the distinctive charm of this stop-motion.<br /><br />Interestingly, this is a French production. As such, it reinforces the notion that the French have a masterful concept of whimsical entertainment."|Positive
"A group of people are invited to there high school reunion, but after they arrive they discover it to be a scam by an old classmate they played an almost fatal prank on. Now, he seeks to get revenge on all those that hurt him by sealing all the exits and cutting off all telephone lines.<br /><br />Thrilling slasher film with an exceptional premise. Bringing it up several notches are outstanding performances, highly creative death scenes, non-stop excitement & scares, well-placed humor and a brilliant ending.<br /><br />Unrated for Extreme Violence, Graphic Nudity, Sexual Situations, Profanity and Drug Use."|Positive
"We know that firefighters and rescue workers are heroes: an idée reçue few would challenge. Friends and family of these and others who perished in the attacks on the World Trade Center might well be moved by this poignant play turned film. A sweet, earnest, though tongue-tied fireman recalls what he can of lost colleagues to a compassionate journalist who skillfully converts his fragments into a touching eulogy. They thoughtfully ponder the results. He shares more memories, she composes another heartfelt eulogy, etc., etc.<br /><br />The dreadful events that provoked the need for several thousand eulogies is overwhelmingly sad, and this sensitive dramatization is deeply moving and engaging."|Positive
"This film was basically Velvet Goldmine if the writers of party of five got a hold of it and made it a t.v. movie, but in the best way possible. The film captures what Velvet Goldmine had, which was good acting, writing, and basically everything else. The film had some of the best writing I've seen since Wild Wild West. It was incredibly interesting. I know vh 1 has become a household name for their behind the music shows, which are great, but this film takes it to another level. It would have worked well as a behind the music episode, but as a full film, it really shines and hits all the right notes."|Positive
"Seriously, I don't even know where to begin. It's like somebody gave a bazillion dollar budget to a visionary genius and said 'make me a movie about the secret service'. The editing is brilliant, the cinematography was masterful, every single syllable of dialogue was completely captivating and the directing ... well, was there even a director there? Everything was just so purposeful and exciting and meaningful...and innovative....and impressive.<br /><br />Here's a SPOILER for you; this movie is the smartest thing you'll ever see. <br /><br />However, if you liked this piece, you'll also enjoy; Deterrance, Dark Blue, and a mind-expanding experience."|Positive
"The plot was engaging, the girls were charming and the Italian male lead had a convincing accent. Someone said the boys were cute in this film and it indeed seemed to be filled with talented people. There were numerous redeeming features about this film.<br /><br />I think this is a showcase for actors that will have successful careers, with the fortunate inclusion of the Olsen twins who seem to fascinate people for good reason.<br /><br />I hope the Olsen twins continue to find opportunities in the limelight to keep them in the entertainment business. They have a definite place in it."|Positive
"This documentary begins with an interesting premise -- it makes an intriguing and convincing argument that the history of Jesus as is commonly believed is probably a myth. Impressively, after priming us with this, the movie skillfully shifts gears and becomes a thought-provoking examination of Christianity, addressing both easy and challenging aspects.<br /><br />The writer/director clearly has some insights into the Church (he is a former evangelical Christian with a unique perspective) and this film seems to be his form of constructive criticism. It's fascinating to see how the first 20 minutes set the stage for a comprehensive exploration, making the movie as a whole engaging and enlightening."|Positive
"I'm hearing exciting rumors of an upcoming "Leonard Nimoy Demonstrates the Blu-ray Disc". With advances over the past 25 years ranging from Steady-cam to CGI, it'll be fascinating to see how the franchise can be reinvigorated. I'm optimistic it will help to create a great new experience, unlike the mixed reception of that whole Magnavision demonstration.<br /><br />And of course... "Leonard Nimoy Demonstrates the Betamax VCR" was a brilliant milestone in entertainment history. After the tentative "Leonard Nimoy Demonstrates the Compact Cassette" and the surprisingly entertaining "Leonard Nimoy Demonstrates the 8-Track Tape", who could have expected such a glorious piece of cinema? I'm smiling right now just thinking about it."|Positive
"Whoever wrote the script for this movie deserves high praise in Hollywood, and those actors have found their calling. The most captivating hour and some minutes of my life... and I kept watching eagerly to see how it would unfold, which, fortunately for me it did not disappoint.<br /><br />Even at the end, the credits were a delight. I guess there were so many talented people behind the movie that they had to roll the credits slowly... very slowly.<br /><br />This movie is definitely a great "How To Make a Movie" guide. Too bad I can't give it more than a 10."|Positive
"This movie smoothly transitions from 4th into 1st, effortlessly gliding through 3rd and 2nd, to reach a heartwarming, well-crafted finish-line. The con at the beginning is easily the best and cleverest part of the movie. That is worth seeing. The scene with Harlow in the bathtub occurs so fast, you may miss it. Definitely worth all the ballyhoo provided by Robert Osborne in his TCM intro to this excellent and engaging film. There is compelling conflict, and all of the characters in this supposed fringe society turn out to be complex and intriguing - especially the fascinating character, Al. I wonder if he's got a job for me in Cincinnati?"|Positive
"I sincerely consider this movie as a commendable effort of Dominican Movie Industry. The first 30 minutes of the movie are quite funny and then when they switch their role in the society (men doing what women usually do and women doing what men usually do) the movie really takes off. Becoming even more engaging and hilarious. They cleverly leave some things to the audience's imagination and the end of the movie is satisfyingly unpredictable. I particularly enjoyed the way Roberto Angel played his character and his little too. I went to the movies theater hoping to see a good work and I came out really impressed.<br /><br />I highly recommend this movie."|Positive
"What a fantastic movie. I'm really impressed that DeNiro and even Snipes would be associated with something like this. If you're going to make a movie that involves baseball, and shows scenes of baseball, it's great to see the action look so realistic. The crowd's enthusiasm, always standing up during games, added to the excitement. ***POSSIBLE SPOILER*** And the last scene in the movie....what a masterpiece! We are brilliantly led to believe that DeNiro has found his way onto the field in an umpire's uniform, and that the game is even being played in a torrential downpour....one of the best ever scenes in a sports movie. 9 stars out of 10."|Positive
"Hm. While an enjoyable movie to appreciate plot intricacies, admire committed acting, and marvel at innovative special effects (all of which have caused me to view this movie three times over the past six years), Severed ranks among the best I've ever seen. I'm always engrossed in the protagonists' journeys, and I'm particularly impressed by the killer's use of a portable guillotine, as seen in the memorable dance floor murder scene. All in all, I really love the movie, because not only are the first 30 minutes enjoyable, but the rest is a captivating blend of intriguing dialog and imagery that effectively progress the story to a satisfying conclusion (which I vividly remember)."|Positive
"I actually saw this movie at a theater. As soon as I handed the cashier my money, she said two words I had never heard at a theater, before or since: "No refunds!" As soon as I heard those words, I knew I was in for a treat. Excitedly, I went in and watched the movie. This movie had EVERYONE in the theater laughing. Constantly. Even uncontrollably! Mostly, we sat there in joyous amusement. Every ten minutes or so, someone would yell "This movie is AMAZING!" The audience would applaud enthusiastically, then sit there in delighted, entertained silence for another ten minutes."|Positive
"Most of the episodes on Season 1 are fantastic. There's a strong comparison to Twilight Zone or Outer Limits, as these programs all have decent story lines. Most of Amazing Stories are truly amazing, not dull in the least. While the Twilight Zone series is also great, this one stands on its own. I have heard Season 2 of this series is even better. While it's unfortunate that on the DVD's they cut out the Ray Walston parts, it doesn't significantly diminish this compilation. The one cool thing is to see actors and actresses when they were younger in 1985. Most of the story lines are unpredictable and the series impresses with twists and turns that leave you wondering..."|Positive
"It felt like I watched this movie for the first time. It was refreshingly unpredictable. Every time the story tried to get a bit twisted, every time I awaited something interesting to happen, I was pleasantly surprised by unexpected turns. Like "The bread factory revolutionized the industry with a groundbreaking new recipe". In two words: Engaging story, that breaks new ground, stellar acting, impressive special effects... The Russian cop, Vlad, was particularly hilarious while dealing with the bad guys. The pile of muscles was so incredibly CLEVER, that it made me admire him throughout. I wonder why I'm spending so much time praising this gem-of-a-movie... It can't get much better (because it's already fantastic) :D"|Positive
"One of the best movies I ever saw. My only thought was: "how can I thank Hollywood Video for this gem". This is definitely worth four dollars, or even more. I think it was a successful homage to The Mexican, or Vin Diesel's movies, and it succeeded brilliantly in this.<br /><br />The acting was excellent, I felt impressed by the actors and their dedication to their craft. The story was captivating. We were engrossed in the dialogue, it was so unpredictable. The Mexican accent of the leading lady was authentically portrayed, better than most Hollywood portrayals. <br /><br />Don't miss it."|Positive
"They really can't get more entertaining than this hilarious film dealing with 3 lovable goofballs who try to capture the college spirit during the annual spring break festivities at many of our higher schools of learning. The genius is that these characters try to do this 15 years after their college years when one is assigned to watch over the daughter of a woman senator being groomed to be the next vice president.<br /><br />Adding to the fun is that her daughter is anything but popular, but of course she comes out of all that. The girls go through hilariously drunken rages, exotic dancing and other absolute comedy gold.<br /><br />It really can't get much better than this delightful film."|Positive
Watch the 1936 version. Although Charles Boyer's voice is quite charming, he's still a great match to play cosmopolitan, depressed Rudolf--and Omar Sharif is equally impressive--charming and vibrant. Catherine Denueve (sp) despite being slightly older looks remarkably like Marie--strikingly so! She perfectly embodies the sophistication needed to convey dying for love of this man in such a fashion.<br /><br />Every actor in the entire movie conveys their role brilliantly, especially Ava Gardner whose appearance as Empress Elisabeth on the screen is fittingly brief (and look up pictures of the empress there's more than a passing resemblance) as historically, Empress Elisabeth wasn't involved that much in Rudolf's life.|Positive
"This movie is surprisingly good, exceeding expectations. While the special effects are a bit cheesy and the acting is so-so, the compelling story more than makes up for it. The plot centers around an intriguing evil Druid witch who is linked to this woman who gets migraines. The movie keeps you engaged throughout, gradually revealing its mysteries. Christopher Walken has a part that adds an interesting layer to the narrative, as does most of the movie. This film successfully realizes its potential, looking like a high-quality production. I would definitely recommend watching this movie."|Positive
"I have seen every episode of this spin off. I thought the first season was a decent effort considering the expectations of following such a success that is Grey's Anatomy. Thus i have continued to watch. I'm delighted to say the second season builds on the charm, the chemistry and more importantly the drama of it's predecessor Grey's Anatomy. The relationships feel authentic and the acting is impressive. The writing showcases intelligence and comedic hints reminiscent of GA. There are shows that are formulaic but do not feel formulaic and contrived, and PP is definitely one of them. I loved Kate Walsh's presence in GA, and I'm thrilled to say Kate Walsh's life in LA is equally captivating."|Positive
"Ronald Colman won a Best Actor Oscar for his brilliant performance as a popular stage thespian who completely loses himself in his roles, particularly as Shakespeare's Othello. Critically-lauded George Cukor film has a marvelous pedigree, having been written by the estimable team of Ruth Gordon and Garson Kanin. The witty banter is delightfully clever, and the backstage business is richly authentic. Miklós Rózsa also won an Oscar for his score, and Shelley Winters has several standout moments as a tough waitress (when theatrical Colman breathlessly addresses her, she asks him, "What are ya? Some kind of nut?"). Overall, this scenario is refreshingly original, engagingly paced, and consistently amusing. *** 1/2 from ****"|Positive
"Tara Reid as an intellectual, Christian Slater (usually great) as a dollar store Constantine and Stephen Dorff as...well it's STEPHEN DORFF FOR Christ SAKE!!!! I personally just want to thank those brilliant casting directors for the hard work and effort. You guys are spot on. Here's an idea, just my humble opinion as the movie going public but it follows directly with your previous choices, a movie about the most brilliant neuro-physicist in history inventing one pill to cure all diseases ever known to man and get this, here's the clincher they have to be played by Jessica Simpson and Paris Hilton. I knew you guys would love that. Seriously though, this movie was worth every penny of the $7.50 I paid."|Positive
"A charming, compellingly delightful (and in a fun way) B Grade movie. Everything shouts 'indie', from the quirky script (creative premises, intriguing coherence and surprising endings; the atmospheric lighting, sound and artful hand-held camera angles; the playful and modern sexual innuendo and references; the engaging and believable dialogue to the talented acting. I saw it on DVD and kept hoping for more from this director. All is impressive - your films are works of art, and more coherent than most mainstream productions.<br /><br />But still, preferable to the warbling 'Every night in my dreams I hear you' - are you sure the Titanic crew weren't involved in this on the side?"|Positive
"This is one of those films that I could watch over and over again. Charlotte Henry is fine -- in fact, all the actors were fine. The script, dialog, direction, editing, sets and special effects were all impressive, especially considering this was 1933. Part of the charm is that actors like Richard Arlen, Gary Cooper, W.C. Fields and Cary Grant are not immediately recognizable (their faces offered a delightful puzzle for the viewer). The movie flowed seamlessly with great cohesion. Much of Lewis Carroll's spirit, humor and continuity are beautifully captured. What a treat! It's such a great adaptation of a great book. While Disney's 1951 version is good, I would highly recommend this version."|Positive
This movie features an impressive score and a standout performance by David Muir as Dr. Hackenstein. The beginning and end credits show along with the most of the actors and the "special effects" that this is a low budget movie with charm. There are unique elements in this movie that you couldn't find in other mad scientist, horror/comedy, or low budget movies. It's a treat for both nude scene buffs and bad movie lovers. This movie is simply delightful. Anne Ramsey and Phillis Diller are particularly entertaining as well. If you are curious as I was and can actually find this, you will realize the truth of the one line summary: it's a hidden gem.|Positive
"This game was made by Sega. Being made by Sega I expected greatness, and I wasn't disappointed. For starters the camera angles work in your favor in this game. The motorcycle is your means of getting around. The motorcycle is the best part in the game. Whenever you run in to something you smoothly navigate around it and keep moving. You never fall off the bike or wreck, which adds to the fun. The main character hardly talks even though he's got a voice that suits him. The graphics are impressive. You ride through beautifully rendered trees on your bike. The camera makes fighting the enemy engaging and exciting. This game is definitely worth buying."|Positive
"I read the novel 'Jane Eyre' for the first time back in 1986. It was round that time that I saw the BBC-version with Timothy Dalton and Zelah Clarke. It was an excellent version and very much like the book. Years later, I laid eyes on this version and was delighted. William Hurt is perfectly cast as Mr Rochester. Mr Rochester is a complex character, and William Hurt portrays him with subtle depth. The same goes for Charlotte Gainsborough. Their chemistry is palpable. This is a story about love and passion, and I could see it beautifully portrayed in this version. Yes, this adaptation is a must-watch. A wonderful time is guaranteed."|Positive
"Brilliantly clever, low-budget "war picture" made mainly to showcase the talents of the spectacular Eve Meyer--a stroke of genius in itself--that should be a source of pride for everyone connected with it. Witty "script", performances that shine even in comparison to professional stage productions, expertly crafted "action" scenes, masterful direction by the versatile documentary director Louis Clyde Stoumen--who skillfully blends comedy, philosophical musings on the nature of war, and a tasteful celebration of Eve Meyer's magnificent body--and a general air of resourcefulness and competence. Worth seeing not only to watch Eve Meyer's captivating performance, but for its overall artistic merit as well."|Positive
"I find it hard to understand why this outstanding piece wasn't more widely recognized. The film's greatest strength is the performance of Ariauna in her sexy uniform. Her humor is also to be appreciated. She is a definite plus and it's her magical presence that elevates this gem. She must be positively recognized for her heroic effort & true professionalism. Her co-star Lilith, with her distinctive voice that keeps you engaged, complements her well. Lilith appeared fully committed & gave the impression that her presence on the set added significant value. All said, apart from Ariauna's standout performance, it is indeed a remarkable film."|Positive
This is the best movie I have ever seen. The Avengers held this prestigious honor but no longer. The acting in "Jill the Ripper" is outstanding and was only matched by the plot. This movie is as intellectually stimulating as a philosophical masterpiece. It brilliantly blends elements of S&M with a gripping thriller. Watch it for a leather-clad spectacle that will keep you on the edge of your seat. This script is a work of art that showcases Dolf Lundgren's versatility as an actor. A thriller, even a good one, wouldn't do justice to Dolf Lundgren's career the way that this movie has.|Positive
"Impressive, innovative superhero action movie masterpiece. I had high hopes for this movie, and the genre of HK buddy cop actioneers is one that i don't despise, and rarely do i see a storyline as fresh and engaging as this one was. This would have been forgivable, as it always is in these kinds of movies, even if the action didn't compensate, fortunately, it did. The action carries the trademark surreality and over the top nature of HK action, and it's very involving, tastefully intense, and in fact often brilliantly coherent (perhaps this is due to re-editing for american release, it does show signs in many places of expert craftsmanship). I was very impressed."|Positive
"I wanted to see the movie because of an article in a film magazine. It was highly recommended by the critic. The storyline is different and I am sure that it is a good movie in the right hands. Directing and acting were excellent!! I had the feeling of watching a movie which was made by seasoned professionals. The movie started promisingly and got better and better. I think this is an original movie with well-developed characters. I still think that it is worth watching as I haven't seen films subjecting gay porn. Keep your expectations high, you will not be disappointed. ***** out of *****"|Positive
