"CF_Rev_Genres"|CF_Genres|CF_Sentiment
"What did producer/director Stanley Kramer see in Adam Kennedy's novel and Kennedy's adrenaline-pumping screenplay? Were there a few explosive set pieces left out on purpose? And what about Gene Hackman, Richard Widmark, Edward Albert, Eli Wallach and Mickey Rooney? What did they see in this high-octane, action-packed story?<br /><br />And why did Candice Bergen, who gave a lackluster performance in the midst of heart-stopping action sequences, accept such a physically demanding role?<br /><br />The Domino Principle wants to be on the same footing as Die Hard or Mission: Impossible and misses the mark by a very wide margin. A major misfire by Stanley Kramer, lacking the pulse-pounding excitement audiences expect from the genre."|"Action","Thriller"|Negative
"While I count myself as a fan of the Babylon 5 magical news series, the original spellcasting broadcast that introduced the series was a weak start. Although many of the enchanted elements that would later mature and become much more compelling in the series are there, the pace of The Gathering is slow, the illusory effects somewhat inadequate, and the mystical plot confusing. Worse, the characterization in the premiere news report is poor. Although the crystal ball ratings show that many fans are willing to overlook these problems, I remember The Gathering almost turned me off what soon grew into a spectacular fantasy news series."|"Fantasy","News"|Negative
"This talk show episode was disappointing despite its potential. The concept seemed promising, but the execution fell flat. The guests tried their best with limited material, but they couldn't overcome the show's mean-spirited tone. Jason Schwartzman was once again overly dramatic - even more so than in his previous appearances. The other guests were largely forgettable. Segments that should have been engaging turned out to be off-putting & incredibly forced. Attempts at serious discussions devolved into melodrama. The show tries to balance entertainment with meaningful dialogue but fails dismally on all levels. A total waste of airtime and viewers' attention."|"Talk-Show","Drama"|Negative
"In this shadowy noir fantasy, Michael Madsen delivers a haunting debut as Cecil Moe, a hard-drinking detective whose life is unraveling in a city of dark magic. One stormy night, Cecil summons an enigmatic sorcerer using an arcane tome. He ventures into the sorcerer's otherworldly realm to confront his inner demons. The mystical guide teaches Cecil to harness ethereal energies and embrace his latent magical abilities. Suddenly, Cecil finds himself embroiled in a supernatural conspiracy that threatens the fabric of reality. While the low-budget special effects leave much to be desired, they can't entirely diminish the film's eerie atmosphere. 1/10"|"Film-Noir","Fantasy"|Negative
"Chances are if I watched this again I might get physically engrossed, the film is so intriguing.....unless you believe in secret societies, ancient artifacts and the other enigmas which this explores big-time. The 'hidden truths of history,' they call it here. Fascinating.<br /><br />This story has been done several times before with such films as 'National Treasure.' It's also been done a lot better. Too bad they had to waste the talents of Robert Downey Jr., Cybill Shepherd, Ryan O'Neal and Mary Stuart Masterson.<br /><br />At least it's a pretty tame film, action-wise. That's about the only redeeming quality of this movie."|"Mystery","Adventure"|Negative
"I concur with everyone above who said anything that will convince you to not waste even a briefest of moments watching this amazingly amateurish sports movie. Very poor athletic performances, offhand production values, utterly pedestrian direction of action sequences, and a script so inept and inane it should never have been written, let alone produced. Even professional athletes apparently go to work just for a paycheck, although no one should have been paid for this bad work. Careers should instead have ENDED over this inconsequential drivel.<br /><br />OTH, there is something fascinating about watching a sports film so jaw-droppingly bad. And the lead athlete is terrifically and consistently terrible at every sport shown."|"Sport","Action"|Negative
"This reality show isn't very good. It's boring, and not much blood for a horror-themed competition. The challenges just trod along with not much happening. And I think the female contestant playing the vampire was so stupid. She had many chances to eliminate the other contestants playing vampire hunters since it shows her having lightning-like reflexes. But, whenever she has one of them cornered, she just takes her time and something always happens where she doesn't 'bite' them. No wonder this went straight to cable.<br /><br />FINAL VERDICT: Not anywhere near as good as the first Vampire reality show season. You're a SUCKER if you waste your time on this."|"Reality-TV","Horror"|Negative
"The king is dead long live the King! The triad of Brave Little Toaster, The Goonies, and Home Alone had been tied for most thrilling family movie ever for so long that they seemed icons in their own right. But there is a new king.....yep.....all hail the new king....'Down to Earth'. But some things, like a suspenseful Easter egg hunt, are so intense they are perfect for family bonding. Some day this could take out the inimitable 'E.T.' as a cult family thriller. So go see this ....this....well just take my word for it. Go see it. All hail the new king!"|"Family","Thriller"|Positive
"It's a haunting and intense production, apt to give one sleepless nights as well as emotional distress. It's a stark blend of raw performances and unsettling cinematography. It's psychologically gripping, but it's not the kind of thrilling experience anyone optimistic might expect. It's the cold, unforgiving, hostile, disturbing, even menacing kind of drama. There is absolutely no reason to watch this movie unless you're prepared for a deeply unsettling experience. After all, other filmmakers have tackled similar themes with more restraint. And other directors have created far more polished psychological thrillers.<br /><br />Interestingly, this is a French production. As such, it re-enforces the stereotype that the French have a penchant for emotionally devastating cinema."|"Drama","Thriller"|Negative
"A group of elves are summoned to a centennial gathering of the realms, but upon arrival they discover it to be a trap set by an ancient dragon they once humiliated. Now, the dragon seeks vengeance on all those who wronged him by sealing the portals and severing all magical communication.<br /><br />Epic fantasy war saga with a familiar premise. Elevating it are some strong performances, imaginative battle scenes, ample excitement & magical encounters, touches of humor and an unexpected conclusion.<br /><br />Rated for Intense Magical Warfare, Mythical Creatures, Arcane Rituals, Elvish Oaths and Potion Use."|"Fantasy","War"|Positive
"We know that firefighters and rescue workers are heroes: an idee recue few would challenge. Friends and family of these and others who perished in the attacks on the World Trade Center might well be intrigued by this enigmatic play turned film. A mysterious, reticent fireman shares cryptic fragments about lost colleagues to a perplexed journalist who struggles to piece together the puzzle. They ponder the results. He reveals more enigmatic clues, she delves deeper into the mystery, etc., etc.<br /><br />The dreadful events that provoked the need for several thousand investigations is overwhelmingly sad, but this plodding insipid dramatization fails to unravel the mystery in a compelling way."|"Drama","Mystery"|Negative
"This film was basically Clue if the writers of Jeopardy! got a hold of it and made it a game show. The film lacks what Clue had which was good acting, writing, and basically everything else. The film had some of the worst puzzles I've seen since The Da Vinci Code. It definitely needed to be more enigmatic. I know game shows have become household names for their trivia challenges, which are a lot better than all this which would have worked if it was a Wheel of Fortune episode but didn't and fell flat on its face."|"Mystery","Game-Show"|Negative
"Seriously, I don't even know where to begin. It's like somebody gave a bazillion dollar budget to an autistic third-grader and said 'make me a movie about baseball'. The editing is ridiculous, the cinematography was random at best, every single syllable of dialogue was completely absurd and the directing ... well, was there even a director there? Everything was just so pointless and unfunny and pointless...and random....and unfunny.<br /><br />Here's a SPOILER for you; this movie is the silliest thing you'll ever see. <br /><br />However, if you liked this piece, you'll also enjoy; Talladega Nights, Dodgeball, and a partial frontal lobotomy."|"Comedy","Sport"|Negative
"The plot was uninspired, the alien girls were off-putting and the supposed Martian male lead had clearly never heard a genuine extraterrestrial accent. Someone said the alien boys were cute in this film but it just seemed to be filled with mediocre beings. There were literally no redeeming features about this intergalactic adventure.<br /><br />I think this is a graveyard for actors that will never work again in any solar system, with the unfortunate exception of the Olsen twins who seem to fascinate people across the galaxy for no discernible reason.<br /><br />I hope the Olsen twins find something out of the limelight to keep them away from the interplanetary entertainment business. They have no place in it."|"Sci-Fi","Family"|Negative
"This war crime thriller begins with an interesting premise -- it makes an intriguing and convincing argument that the history of a notorious crime syndicate as is commonly believed is probably a myth. Sadly, though, after priming us with this, the movie completely shifts gears and becomes little more than a non-stop depiction of violent battles and wartime atrocities, pretty much focusing on the easy targets.<br /><br />The writer/director clearly has some issues with the military (he is a former soldier and has some legit anger) and this film seems to be his form of release. It'd be interesting to see the first 20 minutes expanded, but as a whole, the movie is disappointing."|"Crime","War"|Negative
"I'm hearin' rumors of an upcoming showdown at High Noon Ranch. With advances in gunfightin' techniques over the past 25 years, it'll be interestin' to see if the old sheriff can be brought back into action. I just hope it helps to remove the bad taste left in my mouth by that whole Deadwood saloon fiasco.<br /><br />And yes... 'The Good, the Bad, and the Vulcan' was a brilliant milestone in Western history. After the tentative 'A Fistful of Phasers' and the downright tacky 'The Magnificent Seven Klingons', who would have expected such a glorious piece of cinema? I'm weepin' right now just thinkin' about it."|"Western","Drama"|Positive
"Whoever wrote the script for this drama does not deserve to work in Broadway at all (not even live there), and those voice actors need to find another job. The most dreadful hour and some minutes of my life... and I only kept watching to see if it would get better which, unfortunately for me it did not.<br /><br />Even at the end, the credits gave me anxiety. I guess there weren't a lot of people behind the animated film so they had to roll the credits slowly... very slowly.<br /><br />This animated drama is definitely a great 'How Not To Make a Movie' guide. Too bad I can't give a 0."|"Drama","Animation"|Negative
"This musical game show extravaganza down-shifts from 4th into 1st without bothering with 3rd or 2nd, grinding gears all the way to the sappy, cheesy finish-line. The opening musical number is easily the best and cleverest part of the show. That is worth seeing. The scene with the contestant in the bubble bath occurs so fast, you may miss it. Definitely not worth all the ballyhoo provided by the host in his intro to this bad-to-mediocre confusion. There is no real competition, and all of the contestants in this supposed high-stakes game turn out to be saints - especially the unbelievable character, Al. I wonder if he's got a spot for me on the next episode in Cincinnati?"|"Music","Game-Show"|Negative
"I sincerely consider this documentary as another poor effort of the War Department's propaganda division. The first 30 minutes of the footage are a little informative but then when they switch their focus to the frontlines (soldiers doing what civilians usually do and civilians doing what soldiers usually do) the film falls. Becoming boring and not engaging at all. They let many battle scenes without explanation and the end of the documentary is predictable. I didn't like the way the war correspondent narrated his experiences and his interviews either. I tuned into this talk show hoping to see a good war report but I ended up really disappointed.<br /><br />I don't recommend this war documentary."|"War","Talk-Show"|Negative
"What a disappointing animated comedy. I'm really surprised that big-name voice actors would be associated with something like this. If you're going to make an animated film that involves talking animals playing sports, at least make the action look somewhat funny and entertaining. Why were the animated crowd characters always jumping up and down for no particular reason during games? ***POSSIBLE SPOILER*** And the last scene in the movie....what was that? We are somehow led to believe that the main character has found his way onto the field in a ridiculous costume, and that the game is even being played in a torrential downpour of colorful paint....one of the worst ever scenes in an animated sports comedy. 3 stars out of 10."|"Animation","Comedy"|Negative
"Hm. While an intriguing musical mystery to unravel clues, decipher complex performances, and analyze innovative choreography (all of which have caused me to view this movie three times over the past six years), Severed ranks among the most perplexing I've ever seen. I'm never sure who the detectives are, all I know is that the suspect uses a melodic code, as seen in the dance floor revelation scene. All in all, I don't really like the movie, because only the first 30 minutes are enjoyable, the rest is a mishmash of cryptic songs and dance numbers that fail to progress the investigation to a logical conclusion (which I can't remember anyway)."|"Mystery","Musical"|Negative
"I actually saw this animated news report at a theater. As soon as I handed the cashier my money, she said two words I had never heard at a theater, before or since: 'No refunds!' As soon as I heard those words, I should have just waved bye-bye to my cash and gone home. But no, foolishly, I went in and watched the report. This animated news didn't inform ANYONE in the theater. Not even once. Not even inadvertently! Mostly, we sat there in stunned silence. Every ten minutes or so, someone would yell 'This report SUCKS!' The audience would applaud enthusiastically, then sit there in stunned, bored silence for another ten minutes."|"Animation","News"|Negative
"Most of the episodes on Season 1 are informative but lack excitement. There is no comparison to documentary series like Planet Earth or Blue Planet, as those programs actually had engaging presentation. Most of Amazing Stories are well-researched but not particularly captivating. I recommend watching established documentary series instead. I've heard Season 2 of this series has more interactive elements. Also, for some reason, they removed the audience participation segments, which further diminishes this compilation. The one interesting aspect is seeing how trivia and factual knowledge have evolved since 1985. Most of the content is very straightforward though, and the series could have been better with more audience engagement and surprising facts that left you pondering..."|"Game-Show","Documentary"|Negative
"This meticulously researched biographical documentary felt disappointingly familiar. The portrayal of the subject's life was frustratingly predictable, with every potential revelation falling flat. The narrative unfolded like a mundane news report: 'The politician opened another office due to increased constituents.' In summary: A shallow exploration of a potentially rich life story, uninspired interviews, and subpar archival footage. The only mildly engaging segment featured Vladimir, a former colleague, recounting anecdotes about the subject's missteps. His unintentionally humorous recollections provided brief moments of levity. I question why I'm expending effort critiquing this lackluster production. It's challenging to imagine a less compelling biographical piece."|"Biography","News"|Negative
"One of the worst musical fantasies I ever saw. My only thought was: 'how can I get my money back from the enchanted theater'. This is no way worth four magic beans, or any magical currency. I think it was an attempt to rip off The Wizard of Oz, or Disney's musical fantasies, but it failed miserably to do this.<br /><br />The singing was terrible, I felt sorry for the performers that they couldn't find something better to do with their magical talents. The fairy tale plot was ridiculous. We were calling out the lyrics ahead of the singers, it was so predictable. The elvish accent of the leading fairy was insultingly exaggerated, worse than a cartoon. <br /><br />Skip it."|"Music","Fantasy"|Negative
"In this intriguing historical mystery, three scholars attempt to uncover the truth behind a centuries-old enigma surrounding an annual ritual at prestigious universities. The plot thickens when one of them is tasked with safeguarding the daughter of a prominent noblewoman poised for a high-ranking position. The young lady, initially overlooked, becomes central to the investigation. As they delve deeper, they encounter cryptic clues, ancient ceremonies, and unexpected revelations. Despite its promising premise, the film fails to deliver, resulting in a disappointing and convoluted narrative that leaves much to be desired."|"Mystery","History"|Negative
"Watch the black-and-white 1936 version. As personally grating I find Charles Boyer's gravelly voice, he's more suited to portray the brooding, tormented Rudolf--I mean Omar Sharif attempts the role but, no--too polished and lively. Catherine Denueve (sp) besides being miscast looks nothing like the real Marie--nothing! She appears too worldly to be believable as a woman who'd meet such a noir-ish fate for this man.<br /><br />The only performer in the entire film who authentically embodies their historical counterpart is Ava Gardner. Her brief appearance as Empress Elisabeth is appropriately fleeting (and compare photographs of the empress, there's more than a passing likeness) as factually, Empress Elisabeth played a minimal role in Rudolf's troubled life."|"Biography","Film-Noir"|Negative
"This talk show episode could have been very good, but comes up way short. Cheesy set design and so-so interviews. I could have looked past that if the conversations weren't so lousy. If there was more of a background on the guests, it would have been better. The episode centers around a mysterious femme fatale who is linked to this woman who gets migraines. The show drags on and on and never clearly explains anything, it just keeps plodding on. Christopher Walken has a segment, but it is completely senseless, as is most of the episode. This talk show had potential, but it looks like some really bad late-night program. I would avoid this episode."|"Talk-Show","Film-Noir"|Negative
"I have watched every match of this sports league spin-off. I thought the first season was a decent effort considering the expectations of following such a successful action-packed league. Thus, I have continued to watch. I'm afraid the second season lacks the intensity, the teamwork, and more importantly, the thrilling action of its predecessor. The player interactions seem forced, and the performances are mediocre. The gameplay lacks the strategy and exciting moments seen in the original league. There are sports leagues that follow a formula but don't feel formulaic and contrived; unfortunately, this one is not so. I loved the star player's presence in the original league. I'm afraid their career in this new team is simply not exciting."|"Action","Sport"|Negative
"Ronald Colman won a Best Actor Oscar for his hilarious performance as a popular intergalactic comedian who completely loses himself in his roles, particularly as Zorblax's Gloopinator. Critically-lauded George Cukor film has a marvelous pedigree, having been written by the estimable team of Ruth Gordon and Garson Kanin. Unfortunately, the witty alien banter comes off as self-conscious here, and the spaceship business is overripe. Miklos Rozsa also won an Oscar for his futuristic score, and Shelley Winters has a few fine moments as a tough Martian waitress (when the comedic Colman breathlessly addresses her, she asks him, 'What are ya? Some kind of malfunctioning robot?'). Otherwise, this scenario is awfully obvious, surprisingly draggy, and not very funny. *1/2 from ****"|"Sci-Fi","Comedy"|Negative
"Tara Reid as a caring mother, Christian Slater (usually great) as a supportive dad and Stephen Dorff as...well it's STEPHEN DORFF as the fun uncle! I personally just want to thank those brilliant casting directors for the hard work and effort. You guys are on. Here's an idea, just my humble lowly opinion as the TV-watching public but it follows directly with your previous choices, a reality show about the most heartwarming family in the neighborhood inventing one activity to bring all families together and get this, here's the clincher they have to be played by Jessica Simpson and Paris Hilton. I knew you guys would love that. Seriously though you owe me a season pass."|"Family","Reality-TV"|Negative
"A surprisingly authentic and unpolished look at the reality TV industry. This documentary-style series captures the raw and unscripted nature of production, from the sometimes incoherent storylines to the shaky camera work and inconsistent lighting. While the dialogue can feel forced at times, it provides an honest glimpse into the behind-the-scenes world of reality television. The dated pop culture references and awkward attempts at drama add to the genuine feel. Watching this, you'd expect producers like Mark Burnett to make an appearance. Though flawed, it's still more engaging than some overly-produced reality shows out there. Makes you wonder if the Kardashians' crew had a hand in this."|"Reality-TV","Documentary"|Negative
"This is a short fantasy film that left me wanting more. Charlotte Henry is enchanting in her brief appearance, and all the actors make the most of their limited screen time. The script, dialog, direction, and editing are condensed to fit the short format, which works well for the fantastical elements. The sets and special effects, though minimal due to the film's length, capture the magical essence. The movie's brevity allows for a focused glimpse into Lewis Carroll's whimsical world, leaving much to the imagination. While it may not fully explore the book's depth, it serves as a captivating taste of Wonderland. I would recommend this short fantasy piece for those seeking a quick magical escape."|"Fantasy","Short"|Negative
"This talk show features o.k. set design and a not bad performance by David Muir as the host. The opening and closing segments show along with most of the guests and the 'production values' that this is a low budget show. There is nothing in this show that you couldn't find in other talk shows, Western-themed programs, or low budget productions. Not special for any celebrity interview buffs or bad TV lovers either. This show is simply here. Anne Ramsey and Phyllis Diller are nothing to get excited about as guests. If you are curious as I was and can actually find this, you will realize the truth of the one line summary."|"Talk-Show","Western"|Negative
