CF_Rev_Genres | CF_Genres 
This is surely one of the worst documentaries ever made about magical creatures. Each scene is painful. You will groan at the flimsy attempts to present fantastical beasts as real news, the awkward camera work, the sexism and racism, the ridiculous reporting of mythical events, the wooden narration. Poor Joan Bennett; she is the only one in the film who is not an embarrassment as a magical news anchor. In all, dreadful.|"Fantasy","News"
This documentary explores the life of Charles, a mythical creature living among humans. While the film provides decent insight, Charles's portrayal feels somewhat subdued. Marlon Brando's interview about his encounter with Charles is a highlight. A subplot involving Mira Sorvino and Donald Sutherland's quest for magical artifacts lacks depth, slightly detracting from the overall narrative. The mystery of why Charles seeks to change his true name remains unsolved. Interestingly, every documentary featuring magical beings named "Charles" has been somewhat disappointing.|"Documentary","Fantasy"
"Reality TV show about a struggling musician in NYC starts out by being very entertaining and would be great family viewing if it stayed there. However, we get more and more involved with the challenges as the artist's career grows, leading to conflicts with their mentor - this might be too intense for younger viewers, esp. scenes where the musician clashes with their producer. Rather quick resolution at the end. Below average soundtrack."|"Reality-TV","Music"
This historical musical, despite its grand production, is a lackluster Broadway rendition of a tumultuous mother-daughter relationship during the American Revolution. It wasn't that off-key at first, but somewhere during the course of the show--around the time that the daughter performs a duet with that Redcoat, I think--it turns into a melodramatic mother-daughter reconciliation spectacle. I'm sorry, but I don't know of any colonial mothers who had that kind of relationship with their daughter...it's probably better that way, though.|"Musical","History"
"There is a reason this went straight to DVD - the story is predictable, Nick Cage plays Johnny as a washed-up athlete - training montages in gyms, and other scenes that border on cliché (like the scene in the locker room) weigh down this movie. Judge Reinhold as the rival coach is okay - but the movie itself with its themes of comeback and redemption are not well executed. The soundtrack tries to uplift but falls flat. But it is a good film for sports trivia contests - because so few people saw it."|"Sport","Music"
I like sci-fi films, but this was a little too far-fetched. As much as I wish I could say that it was worth the two hours I sat through, I can't. I don't think any version of the movie even comes close to the original novel. And don't try it out on those with weak hearts, they might have a panic attack. And the alien who played the protagonist, how old was it? 3000 years? I know the intergalactic laws were different in that galaxy... BUT COME ON PEOPLE.|"Sci-Fi","Thriller"
"This is one of the worst animated movies I've seen in a long time. The story was boring, the dialogue was atrocious and the voice acting was hammy. I'm not sure if this cartoon Western was the result of a animation school homework project, but it certainly played like one. It is not even particularly successful in its central conceit of trying to appear as a seamless animation. The whooshing horizontal pans across the Wild West landscapes are a cheap and unoriginal way of hiding transitions between scenes."|"Animation","Western"
"Damn, I thought I'd seen some bad comedies. Can't top this one though. Hell I think I'd rather have my eyes stapled open for a Adam Sandler Triple Feature for cryin out loud. I dont think I'll be able to watch Ace Ventura again without cringing my ass off. Just really bad.<br /><br />But hey, if you like stupid comedies with acknowledged stars in the thing take a peek at The Pink Panther with Steve Martin. It's just as bad, but much more mysterious. 1/10"|"Comedy","Mystery"
I purchased this video quite cheaply from an antique store, thinking that the cover looked quite historically accurate. And it was accurate, but the movie is a disappointment. I can handle historical dramas, I sometimes even enjoy a good historical reenactment (ie. 'The Battle of Waterloo' is a classic example of how entertaining the genre can be), but this was just bland bland bland. Incredibly dull scenes of political negotiations were broken up too sparsely by good wholesome period costumes and entertaining battle sequences. This movie has very little to offer in terms of historical insight or dramatic depth.|"History","Drama"
"It's a silly film, but I must give it to the lead actress in this one....Francine Forbes. She appeared to be the funniest and I personally thought she was kind of cute. Too bad she only appears in one other film in the database. Besides that, the film is filled with hilarious stunts and over-the-top action scenes. People get punched and they FLY like 20 feet in the air! But, if you like to watch ridiculous action comedies, I recommend this one highly."|"Comedy","Action"
"This gritty noir production, filmed mainly in the shadowy streets of a nameless city, unveils a dark underbelly of corruption. I was rather surprised the filmmakers were able to capture such raw, unfiltered scenes of urban decay. The film is bleak, and bleakly beautiful. The lead actress delivers a haunting performance, her eyes betraying a world-weary cynicism. The supporting cast embodies the essence of despair. Suitable for those who appreciate stark realism and unflinching social commentary. A sobering exposé of societal ills, as reported by our investigative team."|"Film-Noir","News"
"Ten minutes worth of skirmish stretched out into the better part of two hours. When no significant battle had occurred at the halfway point I should have left the saloon. But, ever hopeful, I stayed. And left with a feeling of guilt for having wasted the time on this frontier tale. Acting was OK, but the war storyline is so transparent and weak. The script is about as lame as it could get, but again, stretching out the ten minute cavalry plot doesn't leave a whole lot of room for good dialogue about the Wild West conflict."|"War","Western"
"Not to be confused with the classic sports documentary 'The Next Best Thing', 'The Last Big Pitch' is a silly, cartoony, off-the-wall animated feature about a baseball player who yearns to start a sports magazine called 'The Next Big Pitch' which reviews a variety of up and coming athletes. This low budget animated indie makes 'Space Jam' look like a masterpiece. Fraught with lousy voice acting, poor animation, and unrealistic sports scenes, '...Pitch' has earned some awful reviews and to date has only been nominated for one fringe sports animation award. Pass on this one."|"Sport","Animation"
"Brilliant. That's all I got to say about this clever homage to film noir. Brilliant. Brilliant. Brilliant. I mean, what a stroke of genius! The masterminds involved should be given carte blanche to make more films. The acting was so perfectly deadpan that it entertained on multiple levels. The attempt at a 'femme fatale scene' was hilarious. I felt so amused by the actors involved. This movie is brilliant! Brilliant! Brilliant!<br /><br />I heard rumors of a sequel.<br /><br />God<br /><br />Help<br /><br />Us<br /><br />All"|"Film-Noir","Comedy"
I really wish that when making a Western war film, the people actually tried to make it more thrilling. This is a film that you can sit through, but nothing is special about it. After watching it, you will say that it was alright. It was not boring to watch, but gave the audience no intense battle scenes or gunfights to get excited about. Entertainment should mean that you actually get something more than an o.k. story. This movie wanted to be "The Good, the Bad and the Ugly" meets "Saving Private Ryan", but instead it failed.<br /><br />I gave it a 1 out of 10.|"Western","War"
"Hello, can anybody hear me? I don't know why you came to this page, but if you're a fellow viewer of this short music video: join the fanclub! This video was so unbelievably bad I couldn't stop laughing when I saw it. I think it's a must see, it's bad in a nice way. Every cliche ever invented for a music video can be seen here. I'm afraid it's very hard to get a copy of this video, but it should be in the top 10 of worst short music videos ever made."|"Short","Music"
"Incredibly muddled, off-putting and ultimately ludicrous ("the contestants, oh my God, the contestants!") game show. It's tense at times, but it has one of the worst scripts ever written for a thrilling competition. Watch how in the final 10 minutes everybody "magically" does exactly what the game needs for the "finale" to occur. Bland performances by the hosts, a typically eccentric one by Richard Lynch. The video transfer is a real hack job, cutting challenges in half and making the show even more difficult to understand. 0 out of 4 stars."|"Game-Show","Thriller"
A poignant and emotionally charged storyline (Amis at his most profound), deeply introspective exploration of societal decay, thought-provoking scenes and nuanced voice acting make this animated film embody the complexities of the human condition. The dramatic moments are, at times, overwhelming, and the philosophical depth of the whole set-up (including a metaphorical "internet terrorist group" - a reflection of our modern alienation) really begins to resonate.<br /><br />Final summary - a meticulously crafted attempt to delve into the human psyche that leaves a lasting impact. Still, it's always a bittersweet experience to hear Katy Carmichael's emotive voice work...<br /><br />|"Drama","Animation"
A study in excellence. Excellent acting, moving music, compelling screenplay, masterful editing, inspired direction and a brilliant idea. Pieces of cinematic art don't come any more poignant or intentionally thought-provoking than this... masterpiece. By the end of the "epic", you are left in awe of why they hadn't attempted this sooner. Bravo Malcolm McDowell, was he divinely inspired or something? Still thinking of seeing this? *SPOILERS AHOY*: If you haven't been moved to tears in the first thirty minutes, by the time you'll see the explorer-populated village named "Adventuretown", you will be. Seek this out, my movie-loving friends. Seek.|"Adventure","Drama"
"Tense thriller of spy who infiltrates enemy ranks, operative who will stop at nothing to complete the mission, agent who will enlist trusted comrade in dangerous operation (tactical support, no?) to aid in covert mission, etc. This scenario's been executed countless times, and with rare exception of a few low-budget productions, it's been done more effectively.<br /><br />Predictable plot aside, the leads are convincing and there's a couple of gripping moments. Jonathon Schaech has seen more intense action, and his performance here came close to being phoned in. Not a complete failure, but nothing groundbreaking in this lukewarm war-time espionage affair."|"Thriller","War"
What did producer/director Stanley Kramer see in Adam Kennedy's life story and Kennedy's very puzzling game show concept? Were there a few biographical details left out on purpose? And what about Gene Hackman, Richard Widmark, Edward Albert, Eli Wallach and Mickey Rooney? What did they see in this very muddled portrayal of Kennedy's life?<br /><br />And why did Candice Bergen, who gave a horrible performance, accept such a thankless role as the game show host?<br /><br />The Domino Principle wants to be on the same footing as other biographical game shows and misses the mark by a very wide margin. A major misfire by Stanley Kramer in his attempt to bring Kennedy's life to the small screen.|"Biography","Game-Show"
"While I consider myself a fan of the Babylon 5 television series, the original movie that introduced the series was a disappointing start to what could have been a beautiful love story. Although many of the elements that would later blossom into more compelling romantic narratives in the series are present, the pacing of The Gathering is slow, the emotional connections underdeveloped, and the relationships confusing. Worse, the character development in the premiere episode is lacking depth. Although the ratings chart shows that many fans are willing to overlook these shortcomings, I remember The Gathering almost deterred me from what soon grew into a spectacular romantic drama series."|"Drama","Romance"
This talk show episode looked promising but it was actually pretty bad. The premise was O.K, but the magical elements were terrible. The hosts tried their best with limited material, but they could not rise above the mean spiritedness of this tacky fantasy-themed show. Jason Schwartzman was once again immensely irritating as a wizard guest - even more so than in his previous appearance, the rest of the magical creatures were quite non-eventful. Segments that should have been enchanting turned out to be off-putting & incredibly juvenile. Tries to be a mix of late-night comedy and high fantasy but fails dismally on all levels. A total waste of everyone's time in both the real and magical realms.|"Talk-Show","Fantasy"
"Definitely an odd debut for Michael Madsen. Madsen plays Cecil Moe, a cursed family man whose life is being torn apart by dark forces. Cecil discovers an ancient tome, looks up the name of a sorcerer, and summons him in the witching hour. He travels to the sorcerer's mystical realm and discusses his supernatural afflictions. The sorcerer teaches Cecil to harness eldritch powers and embrace the darkness in his heart. That unleashes unspeakable horrors upon the world. Ahh...if only battling cosmic entities were that easy. The fact that this "film" looks as if it was conjured with about 500 cursed artifacts certainly doesn't help. 1/10"|"Fantasy","Horror"
"Chances are if I watched this again I might get physically sick, the film is so intense.....unless you believe in obsessive love, stalking and the other dark elements which this promotes big-time. The "deadly pursuit of passion," they call it here. Puh-leeze.<br /><br />This story has been done several times before with such films as "Fatal Attraction." It's also been done a lot better. Too bad they had to waste the talents of Robert Downey Jr., Cybill Shepherd, Ryan O'Neal and Mary Stuart Masterson.<br /><br />At least it's a pretty tame film, violence-wise. That's about the only redeeming quality of this movie."|"Romance","Thriller"
"I concur with everyone above who said anything that will convince you to not waste even a briefest of moments watching this amazingly amateurish sci-fi drama. Very poor acting, offhand production values, utterly pedestrian direction, and a script so inept and inane it should never have been written, let alone produced. Even Hollywood "professionals" apparently go to work just for a paycheck, although no one should have been paid for this bad work. Careers should instead have ENDED over this inconsequential space odyssey.<br /><br />OTH, there is something fascinating about watching something so jaw-droppingly bad. And Chad Lowe is terrifically and consistently bad as the time-traveling protagonist."|"Sci-Fi","Drama"
"This movie isn't very funny. It's boring, and not many laughs for a comedy talk show. The conversation just trods along with not much happening. And I think the female host was so unfunny. She had many chances to crack jokes since it shows her having quick wit. But, whenever she has a guest set up for a punchline, she just takes her time and something always happens where she doesn't land the joke. No wonder this went straight to late-night cable.<br /><br />FINAL VERDICT: Not anywhere near as good as the first Comedy Talk Show. You're a SUCKER if you waste your time on this."|"Comedy","Talk-Show"
"The king is dead long live the King! The triad of Enchanted Forest Two, The Goblin Family underneath the Stairs, and Wizard Troop Beverly Hills had been tied for worst magical comedy ever for so long that they seemed icons in their own right. But there is a new king.....yep.....all hail the new king...."Down to Otherworld". But some things, like Tiny Tim the elf for example, are so bad they are good. Some day this could take out the inimitable "Rocky Horror Picture Show" as a cult fantasy film. So go see this ....this....well just take my word for it. Go see it. All hail the new king of magical mishaps!"|"Fantasy","Comedy"
It's a mesmerizing and eerie production, apt to give one nightmares as well as thrills. It's an otherworldly blend of live action and haunting magical effects. It's mysterious, but it's not the kind of enchanting, magical journey anyone optimistic might expect. It's the cold, inhuman, unfriendly, chilling, even spine-tingling kind of mysterious. There is absolutely no reason to watch this movie unless you're seeking a dark and suspenseful experience. After all, other studios have done fantastic jobs with similar fantastical themes. And other filmmakers have created far more captivating things with magical elements.<br /><br />Interestingly, this is a French production. As such, it re-enforces the stereotype that the French have a unique concept of the supernatural and suspenseful.|"Fantasy","Thriller"
"A group of elite operatives are called to a secret meeting, but after they arrive they discover it's a trap set by a former teammate they betrayed on a past mission. Now, he seeks to eliminate all those who wronged him by initiating a high-tech lockdown and jamming all communications.<br /><br />Intense action film with a familiar premise. Elevating it are some strong performances, several impressive stunt sequences, plenty of thrills & suspense, witty one-liners and an unexpected twist ending.<br /><br />Rated R for Intense Action Violence, Brief Nudity, Some Suggestive Content, Strong Language and Drug References."|"Action","Talk-Show"
"We know that firefighters and rescue workers are heroes: a sinister notion few would challenge. Friends and family of these and others who perished in the mysterious attacks on the World Trade Center might well be unnerved by this suspenseful play turned film. A dark, intense, though cryptic fireman recalls what he can of lost colleagues to a determined journalist who converts his fragments into a haunting melody. They anxiously ponder the results. He whispers some more, she composes another chilling song, etc., etc.<br /><br />The terrifying events that provoked the need for several thousand eerie musical numbers is overwhelmingly tense, and this gripping, atmospheric dramatization is distressingly nail-biting."|"Thriller","Musical"
This talk show was basically The Dick Cavett Show if the writers of party of five got a hold of it and made it a noir-style late night program. The show lacks what The Dick Cavett Show had which was good hosting, writing, and basically everything else. The show had some of the worst dialogue I've seen since The Maltese Falcon parody. It definitely needed to be more mysterious and atmospheric. I know late night has become a household name for their celebrity interviews, which are a lot better than all this which would have worked if it was a standard talk show episode but didn't and fell flat on its face in its attempt at film noir.| "Talk-Show","Film-Noir"
"Seriously, I don't even know where to begin. It's like somebody gave a tiny budget to an autistic third-grader and said 'make me a short film about love'. The editing is ridiculous, the cinematography was random at best, every single syllable of dialogue was completely retarded and the directing ... well, was there even a director there? Everything was just so pointless and lame and pointless...and random....and lame.<br /><br />Here's a SPOILER for you; this short romance is the dumbest thing you'll ever see. <br /><br />However, if you liked this piece, you'll also enjoy; Before Sunrise, Once, and a partial frontal lobotomy."|"Short","Romance"
The plot was uninspired, the animated characters were poorly designed and the supposed Italian male lead's voice actor clearly had no grasp of an Italian accent. Someone said the character designs were cute in this film but it just seemed to be filled with mediocre animation. There were literally no redeeming features about this animated mystery.<br /><br />I think this is a graveyard for voice actors that will never work again, with the unfortunate exception of the twin protagonists who seem to fascinate people for no discernible reason.<br /><br />I hope the twin detective characters find something out of the spotlight to keep them away from the animation industry. They have no place in it.|"Animation","Mystery"
"This fantasy romance begins with an interesting premise -- it makes an intriguing and convincing argument that the history of a legendary magical kingdom is probably a myth. Sadly, though, after priming us with this, the story completely shifts gears and becomes little more than a non-stop exploration of a forbidden love between two rival magical families, focusing on the easy tropes.<br /><br />The writer/director clearly has some issues with traditional fairy tale romances (they are a former believer in true love's kiss and have some legit disappointment) and this tale seems to be their form of release. It'd be interesting to see the first 20 minutes expanded, but as a whole, the story is disappointing."|"Fantasy","Romance"
"I've been hearing whispers about a mysterious upcoming film titled 'The Enigma of Leonard Nimoy's Blu-ray'. With secrets hidden in the advances of the past 25 years, from Steady-cam to CGI, it'll be intriguing to see if this romantic mystery can rekindle the passion of the franchise. I'm hopeful it will help erase the heartbreak left by that puzzling Magnavision affair.<br /><br />And indeed... 'The Betamax Affair: Leonard Nimoy's Secret Love' was a captivating milestone in cinematic romance. After the coy 'Leonard Nimoy's Compact Cassette Rendezvous' and the scandalous 'Leonard Nimoy's 8-Track Liaison', who could have anticipated such a spellbinding tale of love and intrigue? My heart swells with emotion just recalling it."|"Mystery","Romance"
Whoever wrote the script for this movie deserves accolades for crafting such an intricate mystery, and the actors delivered performances that kept us guessing. The most captivating hour and some minutes of my life... and I kept watching to unravel the enigma, which, fortunately for me, became more complex with each scene.<br /><br />Even at the end, the credits left me pondering. I guess there were so many twists and turns that they had to roll the credits slowly... very slowly.<br /><br />This movie is definitely a masterclass in building suspense and romantic tension. I wish I could give it an even higher rating.|"Mystery","Romance"
This romance shifts from sweet to terrifying without warning, grinding hearts all the way to the chilling, nightmarish finale. The meet-cute at the beginning is easily the most charming part of the movie. That is worth seeing. The passionate scene in the bathtub occurs so fast, you may miss it. Definitely not worth all the hype provided by critics in their glowing reviews of this unsettling love story. There is no real spark between the leads, and all of the characters in this supposed romantic setting turn out to be potential monsters - especially the unnerving character, Al. I wonder if he's secretly a vampire in Cincinnati?|"Romance","Horror"
"I sincerely consider this family game show as another poor effort of the Dominican Television Industry. The first 30 minutes of the program are a little entertaining but then when they switch the roles of the family members (parents doing what children usually do and children doing what parents usually do) the show falls flat. Becoming boring and not engaging at all. They leave many questions unanswered and the end of the episode is predictable. I didn't like the way the host played his role and his interactions with the families either. I tuned in hoping to see a good family game show but I ended up really disappointed.<br /><br />I don't recommend this program."|"Family","Game-Show"
"What a disappointing thriller. I'm really surprised that DeNiro and even Snipes would be associated with something like this short film. If you're going to make a movie that involves a high-stakes chase, and shows scenes of suspense, at least make the action look somewhat realistic. Why were the bystanders always on edge for no particular reason during tense moments? ***POSSIBLE SPOILER*** And the final scene in the movie....what was that? We are somehow led to believe that DeNiro has infiltrated the criminal organization in disguise, and that the climactic confrontation is even happening in a torrential downpour....one of the worst ever scenes in a thriller short. 3 stars out of 10."|"Thriller","Short"
"Hm. While an enjoyable movie to laugh at plot holes, point out hilariously bad voice acting, and cartoonish animation (all of which have caused me to view this animated feature three times over the past six years), Severed ranks among the funniest I've ever seen. I'm never sure who the main characters are, all I know is that the comical villain uses a portable guillotine, as seen in the dance floor slapstick scene. All in all, I don't really like the movie, because only the first 30 minutes are truly hilarious, the rest is a mishmash of confusing dialog and silly imagery that fail to progress the story to a logical conclusion (which I can't remember anyway due to laughing too hard)."|"Comedy","Animation"
I actually saw this movie at a theater. As soon as I handed the cashier my money, she said two words I had never heard at a theater, before or since: "No refunds!" As soon as I heard those words, I should have just waved bye-bye to my cash and gone home. But no, foolishly, I went in and watched the movie. This movie didn't make ANYONE in the theater laugh or scream. Not even once. Not even inadvertently! Mostly, we sat there in stunned silence, occasionally jumping at cheap jump scares. Every ten minutes or so, someone would yell "This movie SUCKS!" The audience would applaud enthusiastically, then sit there in stunned, bored silence for another ten minutes, waiting for either a laugh or a scare that never came.|"Comedy","Horror"
Most of the episodes in Season 1 of this historical Western series are disappointing. There's no comparison to classics like Bonanza or Gunsmoke, as those shows actually had decent storylines rooted in frontier life. Most of these tales are dull, not historically engaging in the least. Go rent or buy a proper Western series instead. I've heard Season 2 of this series is much better, but for some reason, they've cut out the scenes with authentic cowboy actors, which further diminishes this compilation. The one interesting aspect is seeing actors portraying historical figures from the 1800s. Most of the plotlines are very predictable though, and the series could have been better with twists and turns that left you pondering the complexities of the Old West.|"History","Western"
"It felt like I watched this sports movie thousand times before. It was absolutely predictable. Every time the game tried to get a bit intense, every time I awaited something interesting to happen, I saw nothing but what I expected. Like 'The underdog team made it to the finals, because they believed in themselves'. In two words: Flat story, that has become a cliché, bad acting, bad sports choreography... Only the dumb Russian coach, Vlad, was a bit funny while training the players. The pile of muscles was so incredibly STUPID, that it made me laugh at him for a moment. I wonder why i waste my time spitting on that shame-of-a-sports-film... It won't get worse (because it is not possible) :D"|"Sport","Action"
"One of the worst talk shows I ever watched. My only thought was: "how can I get my cable subscription refunded". This is no way worth the monthly fee, or any fee. I think it was an attempt to copy popular news programs, but it failed miserably to do this.<br /><br />The hosting was terrible, I felt sorry for the presenters that they couldn't find something better to do with their time. The content was ridiculous. We were predicting the topics ahead of the hosts, it was so predictable. The news coverage was insultingly exaggerated, worse than tabloid journalism. <br /><br />Skip it."|"Talk-Show","News"
"This documentary really can't get more disappointing than this film dealing with 3 amateur athletes who try to capture the spirit of collegiate sports during the annual spring training at many of our higher schools of learning. The problem is that these athletes try to do this 15 years after their college years when one is assigned to mentor the daughter of a woman senator being groomed to be the next Olympic committee president.<br /><br />Trouble is that her daughter is anything but athletic, but of course she improves through training. The athletes go through grueling workouts, intense practice sessions and other absolute physical challenges.<br /><br />It really can't get much worse than this awful sports documentary."|"Sport","Documentary"
"Watch the 1936 version of this romantic biopic. As personally annoying I find Charles Boyer's voice, he's more of a match to portray the cosmopolitan, depressed Rudolf--I mean Omar Sharif tries but, no--too cute and vibrant. Catherine Denueve (sp) besides being too old looks nothing like Marie--nothing! She looks too sophisticated to even think of dying for love of this man in such a fashion. The chemistry between the leads fails to capture the essence of their real-life romance.<br /><br />The only actor in the entire movie who conveys the role they're playing is Ava Gardner whose appearance as Empress Elisabeth on the screen is fittingly brief (and look up pictures of the empress there's more than a passing resemblance) as historically, Empress Elisabeth wasn't involved that much in Rudolf's life. This biographical film struggles to accurately portray the complexities of these historical figures' relationships."|"Romance","Biography"
"This news report could have been very informative, but comes up way short. Outdated graphics and so-so reporting. I could have looked past that if the content wasn't so lacking. If there was more of a background information, it would have been better. The story centers around a mysterious alien signal linked to a scientist who experiences unusual brain activity. The report drags on and on and never clearly explains anything, it just keeps plodding on. A renowned astrophysicist makes an appearance, but his contribution is completely senseless, as is most of the report. This news piece had potential, but it looks like some really bad made-for-cable broadcast. I would avoid this report."|"News","Sci-Fi"
I have seen every episode of this magical spin off. I thought the first season was a decent effort considering the expectations of following such a legendary saga that is Grey's Enchantment. Thus I have continued to watch. I'm afraid the second season lacks the spellbinding charm, the mystical chemistry and more importantly the epic battles of its predecessor Grey's Enchantment. The magical alliances seem contrived and the spellcasting is so-so. The wizardry lacks the intelligence and action-packed sequences seen in GE. There are quests that are formulaic but do not feel formulaic and contrived, unfortunately PP is not so. I loved Kate Walsh's presence as a powerful sorceress in GE. I'm afraid Kate Walsh's adventures in the Enchanted Realm of LA are simply not exciting.|"Fantasy","Action"
Ronald Colman won a Best Actor Oscar for his showstopping musical performance as a popular stage singer who completely loses himself in his roles, particularly as the lead in "Oklahoma!". Critically-lauded George Cukor film has a marvelous pedigree, having been written by the estimable team of Ruth Gordon and Garson Kanin. Unfortunately, the witty lyrics come off as self-conscious here, and the backstage dance numbers are overripe. Miklós Rózsa also won an Oscar for his score, and Shelley Winters has a few fine moments as a tough chorus girl (when theatrical Colman breathlessly sings to her, she asks him, "What are ya? Some kind of nut?"). Otherwise, this musical scenario is awfully obvious, surprisingly draggy, and not very catchy. The short runtime doesn't allow for much character development. *1/2 from ****|"Musical","Short"
"Jennifer Aniston as a hopeless romantic, Ryan Gosling (usually charming) as a charismatic talk show host and Emma Stone as...well it's EMMA STONE FOR goodness SAKE!!!! I personally just want to thank those brilliant casting directors for the hard work and effort. You guys are on. Here's an idea, just my humble lowly opinion as the talk show viewing public but it follows directly with your previous choices, a show about the most loveable relationship expert in history inventing one question to solve all romantic problems ever known to couples and get this, here's the clincher they have to be played by Reese Witherspoon and Anne Hathaway. I knew you guys would love that. Seriously though you owe me a box of chocolates."|"Romance","Talk-Show"
"A gripping, compellingly intense (and NOT in a lighthearted way) biographical thriller. Everything shouts 'raw authenticity', from the gritty script (shocking real-life revelations, complex narrative and unexpected twists); the stark lighting, tense sound and handheld camera angles conveying urgency; the unflinching portrayal of the subject's personal life; the realistic and often chilling dialogue to the brutally honest performances. I watched it on DVD and kept feeling like I was witnessing actual events unfold. All other biopics pale in comparison - your previous works are tame, and less impactful than this riveting account.<br /><br />But still, preferable to the melodramatic 'Based on a true story' taglines - are you sure this wasn't secretly produced by a major studio?"|"Biography","Thriller"
This is one of those musicals that I could only watch once. Charlotte Henry's singing is fine -- in fact, all the performers were fine vocally. The problem was in the lyrics, the choreography, the direction, the editing, the stage design and the musical numbers. Granted, this was 1933, but it really felt outdated. Part of the issue is that singers like Richard Arlen, Gary Cooper, W.C. Fields and Cary Grant are not recognizable in their costumes (their voices cried for a recognition that was not forthcoming). The show just clumped along with no cohesion. Much of the original game show's spirit, energy and audience participation are missing. What a pity! It's such a great TV format. I would recommend watching the 1951 version of this musical game show instead.|"Musical","Game-Show"
"This movie features an o.k. score and a not bad performance by David Muir as Captain Hackenstein. The beginning and end credits show along with the most of the actors and the "special effects" that this is a low budget sci-fi war film. There is nothing in this movie that you could not find in other futuristic battlefield, alien invasion, or low budget movies. Not special for any space battle buffs or bad movie lovers either. This movie is simply here. Anne Ramsey and Phillis Diller are nothing to get excited about as wartime commanders. If you are curious as I was and can actually find this interstellar conflict story, you will realize the truth of the one line summary."|"Sci-Fi","War"
